lunaid	vdate	3TrialCount	3Numpumps	4Numpumps	3Value	3Status	3PumpCollect.RT	4PumpAgain.RT	3PumpDur	allRTs
10173	20150910	1	22	NA	0.35	timeout	25	NA	5912	NA
10173	20150910	2	18	NA	0.00	popped	NA	NA	NA	NA
10173	20150910	3	22	24	0.00	popped	12	1998	3482	23=1608,24=1998,
10173	20150910	4	22	23	0.37	inflating	48	5316	3366	23=5316,
10173	20150910	5	25	27	0.46	timeout	43	NA	5007	26=1539,27=1587,
10173	20150910	6	46	NA	1.00	timeout	60	NA	6867	NA
10173	20150910	7	56	NA	1.36	timeout	64	NA	8039	NA
10173	20150910	8	35	36	0.00	popped	9	1463	5727	36=1463,
10173	20150910	9	40	NA	0.81	timeout	52	NA	5761	NA
10173	20150910	10	42	NA	0.00	popped	NA	NA	NA	NA
10173	20150910	11	38	NA	0.75	timeout	88	NA	5528	NA
10173	20150910	12	39	NA	0.00	popped	NA	NA	NA	NA
10173	20150910	13	12	NA	0.00	popped	NA	NA	NA	NA
10173	20150910	14	15	NA	0.00	popped	NA	NA	NA	NA
10173	20150910	15	21	NA	0.00	popped	NA	NA	NA	NA
10173	20150910	16	26	NA	0.44	timeout	81	NA	3784	NA
10173	20150910	17	27	NA	0.00	popped	NA	NA	NA	NA
10173	20150910	18	41	NA	0.84	timeout	32	NA	5778	NA
10173	20150910	19	34	NA	0.64	timeout	85	NA	4957	NA
10173	20150910	20	31	33	0.61	timeout	39	NA	4522	32=677,33=825,
10195	20160217	1	16	20	0.30	timeout	72	NA	4086	17=2057,18=703,19=385,20=1070,
10195	20160217	2	30	NA	0.00	popped	NA	NA	NA	NA
10195	20160217	3	24	29	0.51	timeout	75	NA	4287	25=752,26=139,27=894,28=731,29=527,
10195	20160217	4	20	31	0.56	timeout	19	NA	3181	25=120,26=126,27=613,28=561,29=363,21=468,22=380,23=294,24=177,30=458,31=948,
10195	20160217	5	26	33	0.61	timeout	16	NA	4320	27=663,28=125,29=324,30=144,31=121,32=458,33=503,
10195	20160217	6	36	38	0.75	timeout	17	NA	5158	37=646,38=112,
10195	20160217	7	35	40	0.81	timeout	33	NA	4974	37=134,38=542,36=1435,39=619,40=400,
10195	20160217	8	15	NA	0.00	popped	NA	NA	NA	NA
10195	20160217	9	29	40	0.81	timeout	23	NA	4874	30=721,31=143,32=141,33=131,37=125,38=521,36=128,39=842,40=425,34=118,35=126,
10195	20160217	10	27	NA	0.00	popped	NA	NA	NA	NA
10195	20160217	11	20	41	0.84	timeout	41	NA	3030	25=139,26=123,27=136,28=128,29=115,21=328,22=177,23=137,24=125,30=140,31=131,32=124,33=528,37=122,38=114,36=138,39=133,40=150,34=148,35=153,41=1055,
10195	20160217	12	24	41	0.84	timeout	57	NA	3516	25=374,26=142,27=117,28=117,29=97,30=150,31=99,32=120,33=517,37=120,38=95,36=323,39=504,40=460,34=407,35=357,41=741,
10195	20160217	13	45	48	0.00	popped	84	89	6414	46=870,47=1469,48=89,
10195	20160217	14	36	46	1.00	timeout	54	NA	5979	37=549,38=295,39=595,40=243,41=174,46=289,42=182,43=173,44=282,45=282,
10195	20160217	15	28	36	0.00	popped	74	147	4069	29=495,30=411,31=151,32=158,33=112,36=147,34=126,35=124,
10195	20160217	16	21	NA	0.00	popped	NA	NA	NA	NA
10195	20160217	17	18	NA	0.00	popped	NA	NA	NA	NA
10195	20160217	18	19	24	0.00	popped	8	111	2880	20=372,21=268,22=246,23=144,24=111,
10195	20160217	19	12	NA	0.00	popped	NA	NA	NA	NA
10195	20160217	20	15	37	0.72	timeout	37	NA	2394	17=298,18=300,19=287,20=836,25=134,26=148,27=174,28=325,29=253,21=121,22=119,23=127,24=132,30=263,31=270,32=260,33=257,37=267,36=274,34=269,35=263,16=565,
10195	20170816	1	35	38	0.75	timeout	92	NA	5567	36=848,37=164,38=456,
10195	20170816	2	17	NA	0.25	timeout	8	NA	2716	NA
10195	20170816	3	17	18	0.00	popped	90	517	2633	18=517,
10195	20170816	4	12	NA	0.00	popped	NA	NA	NA	NA
10195	20170816	5	17	29	0.51	timeout	37	NA	2600	18=368,19=196,20=194,21=156,22=172,23=156,24=167,25=146,26=275,27=240,28=277,29=261,
10195	20170816	6	29	38	0.75	timeout	39	NA	3667	36=870,37=106,38=116,30=530,31=203,32=176,33=185,34=1180,35=124,
10195	20170816	7	17	21	0.00	popped	50	132	2400	18=643,19=131,20=152,21=132,
10195	20170816	8	15	NA	0.00	popped	NA	NA	NA	NA
10195	20170816	9	23	24	0.00	popped	52	407	3150	24=407,
10195	20170816	10	24	27	0.46	timeout	16	NA	3316	25=426,26=192,27=182,
10195	20170816	11	17	27	0.46	timeout	66	NA	2283	18=694,19=196,20=267,21=390,22=298,23=285,24=315,25=863,26=110,27=425,
10195	20170816	12	27	NA	0.00	popped	NA	NA	NA	NA
10195	20170816	13	24	32	0.58	timeout	51	NA	3017	25=820,26=156,27=170,28=624,29=137,30=684,31=124,32=869,
10195	20170816	14	23	33	0.61	timeout	26	NA	2900	24=456,25=163,26=121,27=138,28=137,29=127,30=559,31=127,32=393,33=1220,
10195	20170816	15	26	35	0.66	timeout	3	NA	3384	27=435,28=148,29=140,30=522,31=415,32=358,33=311,34=379,35=420,
10195	20170816	16	33	37	0.72	timeout	80	NA	4067	36=218,37=465,34=883,35=210,
10195	20170816	17	23	31	0.56	timeout	53	NA	2867	24=469,25=235,26=257,27=501,28=204,29=197,30=371,31=503,
10195	20170816	18	30	NA	0.00	popped	NA	NA	NA	NA
10195	20170816	19	27	33	0.61	timeout	39	NA	3483	28=605,29=777,30=471,31=296,32=542,33=694,
10195	20170816	20	33	NA	0.00	popped	58	NA	NA	NA
10195	20190319	1	26	NA	0.44	timeout	69	NA	7748	NA
10195	20190319	2	24	NA	0.00	popped	NA	NA	NA	NA
10195	20190319	3	19	29	0.51	timeout	69	NA	2800	20=318,21=235,22=225,23=522,24=176,25=387,26=498,27=542,28=503,29=158,
10195	20190319	4	36	42	0.87	timeout	44	NA	4517	37=533,38=450,39=599,40=842,41=774,42=665,
10195	20190319	5	18	33	0.00	popped	87	139	2550	20=183,21=137,22=161,23=128,24=143,25=159,26=129,27=122,28=524,29=130,19=392,30=451,31=131,32=132,33=139,
10195	20190319	6	30	38	0.75	timeout	85	NA	3834	37=602,38=400,31=502,32=177,33=153,34=156,35=444,36=138,
10195	20190319	7	31	39	0.00	popped	20	407	3933	37=1035,38=396,39=407,32=384,33=205,34=179,35=191,36=586,
10195	20190319	8	33	36	0.69	timeout	83	NA	4233	34=472,35=268,36=208,
10195	20190319	9	25	26	0.44	timeout	55	NA	3166	26=445,
10195	20190319	10	15	29	0.51	timeout	26	NA	2117	20=153,21=145,22=166,23=153,24=325,25=162,26=158,27=149,28=139,29=143,19=146,16=783,17=158,18=177,
10195	20190319	11	40	NA	0.81	timeout	69	NA	4917	NA
10195	20190319	12	12	NA	0.00	popped	NA	NA	NA	NA
10195	20190319	13	36	42	0.00	popped	90	543	4667	37=514,38=175,39=169,40=163,41=165,42=543,
10195	20190319	14	33	38	0.75	timeout	21	NA	4033	37=503,38=1867,34=594,35=199,36=201,
10195	20190319	15	8	18	0.00	popped	65	149	1167	16=154,17=153,18=149,9=131,10=194,11=35,12=346,13=139,14=486,15=221,
10195	20190319	16	21	NA	0.00	popped	NA	NA	NA	NA
10195	20190319	17	15	NA	0.00	popped	NA	NA	NA	NA
10195	20190319	18	12	29	0.51	timeout	8	NA	1784	20=480,21=384,22=319,23=117,24=156,25=135,26=144,27=148,28=341,29=834,19=377,16=173,17=368,18=163,13=364,14=192,15=159,
10195	20190319	19	27	NA	0.00	popped	NA	NA	NA	NA
10195	20190319	20	29	43	0.90	timeout	27	NA	3767	37=140,38=173,39=171,40=159,41=422,42=602,30=483,31=363,32=189,33=165,34=145,35=160,36=452,43=541,
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15=,
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10=,
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10=,
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	27=,
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10=,
10637	20140226	1	18	NA	0.00	popped	NA	NA	NA	NA
10637	20140226	2	4	18	0.27	timeout	5	NA	1087	5=331,6=744,7=152,8=451,9=157,10=544,11=146,12=479,13=138,14=380,15=144,16=746,17=285,18=1036,
10637	20140226	3	16	23	0.37	timeout	54	NA	2946	17=495,18=379,19=676,20=401,21=522,22=2162,23=291,
10637	20140226	4	16	23	0.37	timeout	63	NA	2796	17=417,18=327,19=1073,20=835,21=1270,22=351,23=591,
10637	20140226	5	22	34	0.64	inflating	89	418	3366	23=581,24=389,25=860,26=284,27=339,28=620,29=316,30=697,31=284,32=197,33=342,34=418,
10637	20140226	6	21	27	0.00	popped	51	370	3131	22=452,23=734,24=308,25=344,26=572,27=370,
10637	20140226	7	13	22	0.35	timeout	49	NA	2109	14=301,15=285,16=606,17=157,18=340,19=183,20=484,21=739,22=1010,
10637	20140226	8	17	32	0.58	timeout	32	NA	2930	18=331,19=238,20=174,21=352,22=156,23=343,24=149,25=353,26=144,27=680,28=515,29=404,30=1057,31=260,32=166,
10637	20140226	9	21	NA	0.00	popped	NA	NA	NA	NA
10637	20140226	10	14	15	0.00	popped	77	660	2260	15=660,
10637	20140226	11	12	21	0.33	timeout	89	NA	2143	13=759,14=467,15=745,16=522,17=641,18=189,19=748,20=369,21=300,
10637	20140226	12	10	32	0.58	inflating	51	232	1757	11=286,12=626,13=204,14=232,15=201,16=189,17=1262,18=273,19=268,20=514,21=158,22=160,23=138,24=196,25=194,26=336,27=163,28=181,29=176,30=177,31=419,32=232,
10637	20140226	13	5	37	0.72	inflating	47	153	1104	6=437,7=140,8=173,9=152,10=166,11=178,12=176,13=179,14=199,15=180,16=199,17=209,18=208,19=434,20=321,21=282,22=209,23=187,24=183,25=185,26=141,27=404,28=190,29=164,30=171,31=181,32=144,33=164,34=548,35=179,36=180,37=153,
10637	20140226	14	17	36	0.69	timeout	54	NA	2595	18=357,19=288,20=166,21=393,22=393,23=292,24=173,25=401,26=281,27=179,28=339,29=174,30=239,31=367,32=333,33=460,34=233,35=343,36=313,
10637	20140226	15	8	33	0.61	inflating	50	271	1473	9=322,10=349,11=286,12=275,13=177,14=147,15=394,16=246,17=281,18=219,19=236,20=219,21=298,22=269,23=317,24=442,25=212,26=302,27=265,28=285,29=216,30=238,31=224,32=217,33=271,
10637	20140226	16	7	12	0.00	popped	77	199	1489	8=243,9=256,10=204,11=204,12=199,
10637	20140226	17	10	30	0.53	timeout	61	NA	1692	11=276,12=292,13=285,14=272,15=240,16=231,17=367,18=274,19=255,20=328,21=382,22=150,23=534,24=886,25=186,26=266,27=378,28=164,29=157,30=485,
10637	20140226	18	16	24	0.00	popped	3	205	2696	17=321,18=329,19=282,20=251,21=238,22=217,23=217,24=205,
10637	20140226	19	15	33	0.00	popped	74	215	2343	16=427,17=287,18=474,19=164,20=522,21=144,22=158,23=196,24=450,25=152,26=165,27=178,28=184,29=228,30=406,31=205,32=200,33=215,
10637	20140226	20	17	27	0.46	timeout	97	NA	2782	18=603,19=318,20=722,21=233,22=318,23=524,24=363,25=430,26=333,27=460,
10638	20140328	1	7	17	0.25	timeout	71	NA	2344	8=818,9=156,10=557,11=201,12=237,13=313,14=593,15=1919,16=450,17=384,
10638	20140328	2	2	20	0.30	timeout	35	NA	1021	8=189,9=187,10=208,11=217,12=170,13=179,14=166,15=194,16=172,17=193,3=1772,4=206,5=210,6=175,7=189,18=968,19=181,20=186,
10638	20140328	3	2	17	0.25	timeout	58	NA	685	8=576,9=1349,10=253,11=156,12=529,13=723,14=246,15=203,16=375,17=404,3=150,4=561,5=97,6=317,7=1228,
10638	20140328	4	18	NA	0.00	popped	NA	NA	NA	NA
10638	20140328	5	23	NA	0.37	timeout	22	NA	3751	NA
10638	20140328	6	16	22	0.35	timeout	9	NA	3801	17=825,18=1079,19=654,20=353,21=895,22=545,
10638	20140328	7	3	24	0.39	timeout	56	NA	1741	8=227,9=202,10=218,11=225,12=211,13=197,14=203,15=176,16=131,17=368,4=453,5=220,6=240,7=206,18=252,19=512,20=271,21=489,22=624,23=386,24=300,
10638	20140328	8	29	33	0.61	timeout	89	NA	4823	30=2117,31=409,32=613,33=481,
10638	20140328	9	42	NA	0.87	timeout	65	NA	6682	NA
10638	20140328	10	43	NA	0.90	timeout	42	NA	6498	NA
10638	20140328	11	44	46	1.00	timeout	34	NA	6264	45=124,46=714,
10638	20140328	12	21	NA	0.00	popped	NA	NA	NA	NA
10638	20140328	13	33	NA	0.00	popped	NA	NA	NA	NA
10638	20140328	14	2	15	0.00	popped	47	141	634	8=464,9=185,10=1320,11=712,12=436,13=126,14=148,15=141,3=346,4=1563,5=195,6=168,7=740,
10638	20140328	15	2	21	0.33	timeout	49	NA	467	8=116,9=133,10=111,11=1,12=171,13=362,14=192,15=159,16=162,17=140,3=258,4=1021,5=150,6=137,7=109,18=94,19=140,20=228,21=439,
10638	20140328	16	12	NA	0.00	popped	NA	NA	NA	NA
10638	20140328	17	20	NA	0.30	timeout	82	NA	3282	NA
10638	20140328	18	7	NA	0.08	timeout	91	NA	1423	NA
10638	20140328	19	30	NA	0.53	timeout	29	NA	4522	NA
10638	20140328	20	20	23	0.37	timeout	55	NA	3014	21=417,22=1450,23=2113,
10662	20140401	1	18	NA	0.00	popped	NA	NA	NA	NA
10662	20140401	2	11	15	0.21	timeout	53	NA	1958	12=670,13=1115,14=385,15=636,
10662	20140401	3	22	24	0.39	timeout	31	NA	3332	23=1360,24=508,
10662	20140401	4	21	27	0.46	timeout	56	NA	3299	23=408,24=339,22=679,25=802,26=2111,27=136,
10662	20140401	5	27	NA	0.00	popped	NA	NA	NA	NA
10662	20140401	6	21	31	0.56	inflating	68	391	3064	23=167,24=99,22=495,25=85,26=471,27=642,28=373,29=1003,30=1861,31=391,
10662	20140401	7	30	35	0.66	timeout	38	NA	4438	31=837,32=564,33=106,34=1507,35=287,
10662	20140401	8	30	40	0.81	timeout	82	NA	4505	31=707,32=158,33=115,34=110,35=140,36=349,37=486,38=569,39=340,40=671,
10662	20140401	9	12	NA	0.00	popped	NA	NA	NA	NA
10662	20140401	10	39	45	0.97	inflating	51	143	5426	40=1408,41=353,42=279,43=645,44=986,45=143,
10662	20140401	11	21	NA	0.00	popped	NA	NA	NA	NA
10662	20140401	12	33	NA	0.00	popped	12	NA	NA	NA
10662	20140401	13	25	34	0.64	inflating	27	1405	4019	26=779,27=126,28=115,29=110,30=571,31=450,32=519,33=652,34=1405,
10662	20140401	14	23	47	1.03	timeout	1	NA	3332	24=696,25=123,26=108,27=126,28=290,29=120,30=109,31=123,32=115,33=130,34=119,35=152,36=117,37=111,38=135,39=133,40=115,41=147,42=740,43=475,44=360,45=246,46=272,47=92,
10662	20140401	15	39	NA	0.00	popped	NA	NA	NA	NA
10662	20140401	16	44	NA	0.94	timeout	2	NA	6130	NA
10662	20140401	17	32	36	0.00	popped	52	113	4605	33=651,34=125,35=105,36=113,
10662	20140401	18	24	NA	0.00	popped	NA	NA	NA	NA
10662	20140401	19	20	43	0.90	timeout	77	NA	2914	23=120,24=117,22=120,25=96,26=114,27=105,28=95,29=95,30=522,31=299,32=280,33=291,34=453,35=118,36=117,37=95,38=140,39=118,40=702,41=929,42=151,43=121,21=453,
10662	20140401	20	15	NA	0.00	popped	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12=,
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15=,
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12=,
10711	20140821	1	51	NA	0.00	popped	NA	NA	NA	NA
10711	20140821	2	24	31	0.56	timeout	8	NA	4337	25=1376,26=459,27=322,28=316,29=312,30=390,31=1144,
10711	20140821	3	39	NA	0.00	popped	NA	NA	NA	NA
10711	20140821	4	29	NA	0.51	timeout	20	NA	4338	NA
10711	20140821	5	27	NA	0.00	popped	NA	NA	NA	NA
10711	20140821	6	36	NA	0.00	popped	48	NA	NA	NA
10711	20140821	7	37	38	0.75	timeout	4	NA	5694	38=340,
10711	20140821	8	24	NA	0.00	popped	NA	NA	NA	NA
10711	20140821	9	29	NA	0.51	timeout	15	NA	4304	NA
10711	20140821	10	31	36	0.69	timeout	26	NA	4505	32=684,33=269,34=156,35=1037,36=1140,
10711	20140821	11	18	NA	0.00	popped	NA	NA	NA	NA
10711	20140821	12	28	39	0.78	timeout	27	NA	4203	29=800,30=557,31=313,38=450,32=198,33=183,34=626,35=166,36=347,37=337,39=340,
10711	20140821	13	17	21	0.00	popped	84	143	3333	18=235,19=154,20=119,21=143,
10711	20140821	14	30	42	0.87	timeout	17	NA	4387	31=314,38=225,32=141,33=143,34=146,35=148,36=298,37=190,39=324,40=401,41=749,42=331,
10711	20140821	15	23	30	0.00	popped	6	3813	3483	25=147,26=139,27=134,28=117,29=141,30=3813,24=126,
10711	20140821	16	12	NA	0.00	popped	NA	NA	NA	NA
10711	20140821	17	29	38	0.75	timeout	29	NA	4455	30=374,31=147,38=679,32=126,33=123,34=126,35=134,36=992,37=313,
10711	20140821	18	22	33	0.61	timeout	NA	NA	3735	25=143,26=140,27=142,28=156,29=426,30=811,31=245,32=722,33=771,24=142,23=278,
10711	20140821	19	15	NA	0.00	popped	NA	NA	NA	NA
10711	20140821	20	33	NA	0.00	popped	NA	NA	NA	NA
10717	20140611	1	42	43	0.90	timeout	11	NA	8123	43=876,
10717	20140611	2	10	12	0.00	popped	44	481	2628	11=636,12=481,
10717	20140611	3	24	NA	0.00	popped	NA	NA	NA	NA
10717	20140611	4	35	42	0.00	popped	1	280	5292	36=536,37=442,38=461,39=580,40=712,41=312,42=280,
10717	20140611	5	27	NA	0.00	popped	NA	NA	NA	NA
10717	20140611	6	32	36	0.69	timeout	66	NA	4807	36=2053,33=615,34=731,35=484,
10717	20140611	7	7	18	0.27	timeout	60	NA	1372	11=656,12=413,8=631,9=678,10=858,13=371,14=407,15=435,16=866,17=765,18=627,
10717	20140611	8	21	36	0.00	popped	14	366	3315	36=366,33=253,34=235,35=371,22=470,23=373,24=312,25=320,26=429,27=331,28=233,29=223,30=196,31=212,32=202,
10717	20140611	9	3	30	0.00	popped	14	500	803	11=277,12=205,8=179,9=181,10=144,13=211,14=210,15=167,16=214,17=202,18=203,22=252,23=227,24=200,25=231,26=219,27=242,28=226,29=232,30=500,4=407,5=428,6=372,7=188,19=214,20=208,21=188,
10717	20140611	10	51	NA	0.00	popped	NA	NA	NA	NA
10717	20140611	11	33	NA	0.00	popped	NA	NA	NA	NA
10717	20140611	12	22	28	0.48	timeout	70	NA	3466	23=451,24=429,25=743,26=924,27=859,28=1027,
10717	20140611	13	15	NA	0.00	popped	NA	NA	NA	NA
10717	20140611	14	21	29	0.51	timeout	72	NA	3198	22=471,23=739,24=741,25=869,26=856,27=690,28=289,29=692,
10717	20140611	15	38	44	0.94	inflating	87	407	5460	43=593,39=1017,40=386,41=700,42=742,44=407,
10717	20140611	16	49	52	1.21	timeout	49	NA	7185	50=503,51=354,52=384,
10717	20140611	17	21	NA	0.00	popped	NA	NA	NA	NA
10717	20140611	18	25	31	0.56	timeout	69	NA	3767	26=459,27=756,28=661,29=573,30=1304,31=685,
10717	20140611	19	20	29	0.51	timeout	18	NA	3098	22=455,23=1175,24=554,25=691,26=640,27=326,28=436,29=526,21=399,
10717	20140611	20	18	NA	0.00	popped	NA	NA	NA	NA
10749	20120828	1	21	NA	0.33	timeout	61	NA	4391	NA
10749	20120828	2	22	23	0.37	timeout	26	NA	3706	23=770,
10749	20120828	3	37	41	0.84	timeout	64	NA	5542	38=891,39=173,40=876,41=143,
10749	20120828	4	41	43	0.90	timeout	48	NA	6026	42=707,43=228,
10749	20120828	5	15	NA	0.00	popped	NA	NA	NA	NA
10749	20120828	6	29	30	0.53	timeout	77	NA	4390	30=1352,
10749	20120828	7	18	NA	0.00	popped	NA	NA	NA	NA
10749	20120828	8	33	NA	0.00	popped	NA	NA	NA	NA
10749	20120828	9	29	NA	0.51	timeout	13	NA	4524	NA
10749	20120828	10	24	NA	0.00	popped	NA	NA	NA	NA
10749	20120828	11	26	29	0.51	timeout	82	NA	4040	27=493,28=702,29=720,
10749	20120828	12	26	37	0.72	timeout	31	NA	4058	30=301,27=260,28=207,29=734,31=328,32=328,33=306,34=740,35=532,36=549,37=508,
10749	20120828	13	12	NA	0.00	popped	NA	NA	NA	NA
10749	20120828	14	26	27	0.00	popped	71	345	4006	27=345,
10749	20120828	15	29	33	0.61	timeout	38	NA	4407	30=585,31=192,32=509,33=200,
10749	20120828	16	31	34	0.64	timeout	41	NA	4641	32=356,33=164,34=260,
10749	20120828	17	21	NA	0.00	popped	NA	NA	NA	NA
10749	20120828	18	25	35	0.66	timeout	2	NA	3940	30=238,27=190,28=166,29=165,31=395,32=281,33=291,34=942,35=542,26=142,
10749	20120828	19	25	35	0.66	timeout	43	NA	3723	30=765,27=169,28=138,29=299,31=180,32=403,33=417,34=397,35=923,26=262,
10749	20120828	20	34	36	0.69	timeout	21	NA	5008	35=871,36=570,
10749	20140217	1	21	27	0.46	timeout	47	NA	5024	22=1722,23=136,24=749,25=124,26=497,27=271,
10749	20140217	2	22	30	0.53	timeout	74	NA	3700	23=615,24=114,25=810,26=139,27=723,28=106,29=2150,30=150,
10749	20140217	3	24	NA	0.00	popped	NA	NA	NA	NA
10749	20140217	4	19	27	0.46	timeout	84	NA	3048	22=951,23=151,24=945,25=150,26=1074,27=137,20=444,21=345,
10749	20140217	5	21	29	0.51	timeout	83	NA	3131	22=430,23=137,24=395,25=128,26=346,27=153,28=364,29=114,
10749	20140217	6	2	27	0.46	timeout	NA	NA	501	22=169,23=182,24=586,25=285,26=381,27=487,20=195,21=174,3=337,4=409,5=553,6=126,7=820,8=855,9=139,10=139,11=144,12=126,13=167,14=138,15=160,16=180,17=144,18=156,19=164,
10749	20140217	7	21	29	0.51	timeout	45	NA	3131	22=448,23=569,24=328,25=1190,26=476,27=477,28=356,29=369,
10749	20140217	8	12	NA	0.00	popped	NA	NA	NA	NA
10749	20140217	9	15	NA	0.00	popped	NA	NA	NA	NA
10749	20140217	10	13	24	0.39	timeout	49	NA	2210	22=315,23=2587,24=459,20=259,21=308,14=385,15=126,16=523,17=345,18=399,19=227,
10749	20140217	11	23	29	0.51	timeout	80	NA	3517	24=574,25=122,26=620,27=293,28=1990,29=530,
10749	20140217	12	29	35	0.66	inflating	41	363	4169	30=856,31=133,32=564,33=274,34=2561,35=363,
10749	20140217	13	25	37	0.72	timeout	75	NA	3751	26=335,27=228,28=230,29=221,30=236,31=276,32=572,33=336,34=375,35=483,36=382,37=317,
10749	20140217	14	35	43	0.90	timeout	40	NA	5024	36=1081,37=243,38=243,39=295,40=300,41=323,42=268,43=373,
10749	20140217	15	37	47	1.03	inflating	33	323	5308	38=1244,39=369,40=355,41=252,42=206,43=253,44=238,45=323,46=343,47=323,
10749	20140217	16	18	NA	0.00	popped	NA	NA	NA	NA
