"lunaid","vdate","npop","meanval","sdval","meansize","meanauto","meanpump","totalval"
10173,20150910,9,0.693636363636364,0.304574218451685,NA,34.6363636363636,NA,7.63
10195,20160217,9,0.704545454545455,0.19490323939656,61.5454545454545,25.5454545454545,36,7.75
10195,20170816,8,0.576666666666667,0.144116955871601,NA,24.5833333333333,NA,6.92
10195,20190319,9,0.652727272727273,0.174647697327558,NA,27.0909090909091,NA,7.18
10637,20140226,7,0.5,0.149888847706114,41.1538461538462,12.8461538461538,28.3076923076923,6.5
10638,20140328,5,0.46,0.269205179317614,NA,19.3333333333333,NA,6.9
10662,20140401,9,0.688181818181818,0.266188586600485,NA,26,NA,7.57
10711,20140821,11,0.67,0.128549601321824,NA,28.7777777777778,NA,6.03
10717,20140611,11,0.674444444444444,0.290908538509576,62.8888888888889,28.4444444444444,34.4444444444444,6.07
10749,20120828,7,0.613076923076923,0.164234822504477,NA,28.8461538461538,NA,7.97
10749,20140217,7,0.609230769230769,0.194998356337583,55.6923076923077,23.1538461538462,32.5384615384615,7.92
10767,20140610,3,0.319411764705882,0.0500587889679842,26.7058823529412,6.05882352941176,20.6470588235294,5.43
10772,20140329,10,0.707,0.237301964219056,68.3,32.4,35.9,7.07
10806,20140423,9,0.63,0.187136313953225,NA,31.7272727272727,NA,6.93
10811,20140320,6,0.427142857142857,0.232095092296524,NA,24.5,NA,5.98
10811,20140611,8,0.546666666666667,0.188261584616789,NA,29.9166666666667,NA,6.56
10814,20140612,3,0.300588235294118,0.1072654760533,NA,14.1176470588235,NA,5.11
10822,20140604,8,0.305,0.13661491998913,NA,17,NA,3.66
10824,20130520,6,0.632857142857143,0.264413096714754,NA,32.5714285714286,NA,8.86
10843,20151029,8,0.516666666666667,0.216766876592986,NA,23.75,NA,6.2
10843,20170526,11,0.568888888888889,0.271728009434271,NA,26.1111111111111,NA,5.12
10843,20190528,11,0.743333333333333,0.247638849940796,NA,29,NA,6.69
10845,20131125,9,0.666363636363636,0.174314240799352,63.5454545454545,28.8181818181818,34.7272727272727,7.33
10873,20140903,7,0.601538461538462,0.267327706315867,NA,26,NA,7.82
10880,20160521,9,0.577272727272727,0.16637853882583,52.1818181818182,20.7272727272727,31.4545454545455,6.35
10880,20171213,8,0.550833333333333,0.245855032427032,NA,29.9166666666667,NA,6.61
10891,20140619,10,0.669,0.340471894744796,NA,29,NA,6.69
10982,20161014,13,0.947142857142857,0.523982006234129,NA,35.2857142857143,NA,6.63
10985,20160314,10,0.878,0.179369265297412,67.4,25.4,42,8.78
10997,20151130,6,0.367857142857143,0.114567989315621,36.2142857142857,13.5714285714286,22.6428571428571,5.15
10997,20170802,6,0.444285714285714,0.123457515938716,34.9285714285714,8.85714285714286,26.0714285714286,6.22
10997,20190507,5,0.514,0.130919822792425,38.8,9.86666666666667,28.9333333333333,7.71
11048,20160524,9,0.617272727272727,0.216383497942468,NA,28.3636363636364,NA,6.79
11048,20171214,7,0.563846153846154,0.174906568465303,53.7692307692308,22.9230769230769,30.8461538461538,7.33
11048,20190628,7,0.545384615384615,0.153221810056281,45.6923076923077,15.4615384615385,30.2307692307692,7.09
11126,20140716,11,0.84,0.40024992192379,NA,39.5555555555556,NA,7.56
11162,20140610,10,0.692,0.149725675078718,NA,30.5,NA,6.92
11165,20140512,8,0.5325,0.233320887113941,NA,29.25,NA,6.39
11178,20140219,5,0.44,0.120118988626159,NA,24.2,NA,6.6
11206,20140610,6,0.343571428571429,0.0773212223685802,38.5,16.7142857142857,21.7857142857143,4.81
11216,20140827,9,0.664545454545455,0.283526493871865,NA,30.7272727272727,NA,7.31
11228,20140820,7,0.635384615384615,0.155328436150381,NA,29,NA,8.26
11228,20160115,7,0.425384615384615,0.119903807599772,NA,22,NA,5.53
11228,20170719,6,0.397857142857143,0.0762766797136049,NA,19.1428571428571,NA,5.57
11228,20190226,6,0.477142857142857,0.084163629220207,NA,24.8571428571429,NA,6.68
11229,20131218,6,0.33,0.0791298834925116,36.7142857142857,15.7142857142857,21,4.62
11243,20140115,6,0.450714285714286,0.0961140577018372,47.2142857142857,20.7857142857143,26.4285714285714,6.31
11246,20140121,7,0.43,0.133103969387343,31.2307692307692,5.76923076923077,25.4615384615385,5.59
11248,20160201,5,0.317333333333333,0.118651149333225,NA,14.4666666666667,NA,4.76
11248,20170724,9,0.549090909090909,0.160963010996598,NA,27.8181818181818,NA,6.04
11248,20190306,9,0.659090909090909,0.228317960110656,NA,30.9090909090909,NA,7.25
11250,20140205,7,0.586923076923077,0.172597055565104,51.1538461538462,19.4615384615385,31.6923076923077,7.63
11253,20140210,10,0.667,0.37715455128575,59.3,25.9,33.4,6.67
11255,20140211,7,0.415384615384615,0.189895382803944,NA,20.3076923076923,NA,5.4
11256,20140215,10,0.598,0.16518003645854,52.2,20,32.2,5.98
11257,20150916,10,0.613,0.185535261697968,NA,30.9,NA,6.13
11258,20140219,6,0.418571428571429,0.15673874111729,37.1428571428571,12.2857142857143,24.8571428571429,5.86
11262,20140224,13,0.915714285714286,0.208794727172977,NA,42.8571428571429,NA,6.41
11263,20140226,10,0.724,0.156361404729201,61.6,24.7,36.9,7.24
11265,20140916,8,0.565833333333333,0.22987974458333,NA,10.75,NA,6.79
11266,20140311,11,0.725555555555556,0.205737157017826,65.5555555555556,28.8888888888889,36.6666666666667,6.53
11268,20140317,9,0.734545454545455,0.130565204887339,60.1818181818182,22.8181818181818,37.3636363636364,8.08
11269,20140320,7,0.465384615384615,0.256405128153845,NA,18.7692307692308,NA,6.05
11270,20140321,7,0.458461538461538,0.0849358732462471,45.7692307692308,18.9230769230769,26.8461538461538,5.96
11270,20160719,7,0.471538461538462,0.0589980442961394,NA,24.4615384615385,NA,6.13
11271,20140321,13,0.874285714285714,0.198817935379511,NA,40.1428571428571,NA,6.12
11272,20140324,11,0.867777777777778,0.169689258482806,NA,39.4444444444444,NA,7.81
11272,20151005,8,0.628333333333333,0.361985266735172,NA,30.8333333333333,NA,7.54
11273,20140325,4,0.3175,0.0895544527089524,32.125,11.8125,20.3125,5.08
11273,20140402,7,0.462307692307692,0.263032122441152,NA,26.0769230769231,NA,6.01
11275,20160125,11,0.728888888888889,0.194964384211863,NA,34,NA,6.56
11275,20171113,8,0.558333333333333,0.112074109680185,52.4166666666667,21.5833333333333,30.8333333333333,6.7
11275,20190604,9,0.64,0.110995495404093,NA,28.7272727272727,NA,7.04
11276,20140423,7,0.527692307692308,0.129688977053683,NA,17.4615384615385,NA,6.86
11278,20140331,6,0.461428571428571,0.0964649910874122,NA,21.6428571428571,NA,6.46
11279,20140401,6,0.427142857142857,0.0804246968793285,NA,20.2857142857143,NA,5.98
11281,20140409,9,0.559090909090909,0.146044824999351,NA,30.6363636363636,NA,6.15
11282,20140417,13,0.824285714285714,0.428285618984074,NA,37.7142857142857,NA,5.77
11282,20141013,8,0.654166666666667,0.203758249507656,NA,32.4166666666667,NA,7.85
11283,20140418,7,0.478461538461538,0.159991986978836,33,5.61538461538461,27.3846153846154,6.22
11284,20140425,7,0.400769230769231,0.122777681092123,NA,22.9230769230769,NA,5.21
11285,20140430,12,0.75,0.249227377537633,NA,35.875,NA,6
11286,20140505,5,0.386,0.137933731500726,NA,17.7333333333333,NA,5.79
11287,20140508,7,0.355384615384615,0.156344458627704,NA,17.1538461538462,NA,4.62
11289,20140519,7,0.466153846153846,0.135249058008948,NA,23.2307692307692,NA,6.06
11289,20151001,4,0.26125,0.0757077715077301,NA,13.625,NA,4.18
11289,20170406,5,0.406666666666667,0.0777051815395552,NA,20.8,NA,6.1
11289,20181009,8,0.563333333333333,0.0922775786155636,54.1666666666667,23.0833333333333,31.0833333333333,6.76
11290,20140520,9,0.492727272727273,0.166678787438049,NA,25.3636363636364,NA,5.42
11291,20140521,6,0.436428571428571,0.103150908333906,NA,19.2857142857143,NA,6.11
11292,20140527,6,0.5,0.0662164283589457,38.2142857142857,9.57142857142857,28.6428571428571,7
11293,20140528,11,0.758888888888889,0.22290381582896,NA,28.5555555555556,NA,6.83
11294,20140604,7,0.424615384615385,0.0578237818167382,NA,19.8461538461538,NA,5.52
11296,20140607,6,0.517857142857143,0.256310465929612,NA,25.7857142857143,NA,7.25
11297,20140609,11,0.85,0.279329554469268,NA,31.7777777777778,NA,7.65
11298,20140618,4,0.29375,0.0899536917900909,NA,15.625,NA,4.7
11299,20140620,7,0.604615384615385,0.263963866991153,NA,21.3076923076923,NA,7.86
11299,20151015,10,0.644,0.213915871313935,56.7,23,33.7,6.44
11299,20170710,13,0.824285714285714,0.338863647251474,72.1428571428571,32.7142857142857,39.4285714285714,5.77
11300,20140627,9,0.57,0.249198715887542,NA,25.7272727272727,NA,6.27
11301,20140630,10,0.651,0.21020889081525,56,22,34,6.51
11302,20140710,9,0.726363636363636,0.167766070900688,NA,35.0909090909091,NA,7.99
11303,20140710,2,0.298888888888889,0.0909355873448434,30.3888888888889,10.8888888888889,19.5,5.38
11304,20140711,8,0.4875,0.30337870123599,47.25,20.4166666666667,26.8333333333333,5.85
11305,20140714,10,0.628,0.30763614872118,NA,31.6,NA,6.28
11306,20140714,12,0.98375,0.438599638459886,46.625,2.625,44,7.87
11307,20140715,8,0.609166666666667,0.110819946787844,NA,32.8333333333333,NA,7.31
11309,20140716,8,0.6125,0.154456525216056,NA,30.5833333333333,NA,7.35
11310,20140717,7,0.585384615384615,0.417843977751971,NA,25,NA,7.61
11312,20140723,3,0.245882352941176,0.0874684817183747,28,11.2941176470588,16.7058823529412,4.18
11313,20140804,7,0.351538461538462,0.138434470288662,24.6923076923077,2.92307692307692,21.7692307692308,4.57
11314,20140806,5,0.569333333333333,0.330982663910852,NA,20.5333333333333,NA,8.54
11314,20170224,10,0.543,0.143840189098875,NA,25.8,NA,5.43
11315,20140806,8,0.475833333333333,0.246335260582119,NA,20.75,NA,5.71
11316,20140811,8,0.504166666666667,0.189230899520489,NA,24.5,NA,6.05
11317,20140812,8,0.588333333333333,0.423488399182816,NA,28.75,NA,7.06
11318,20140814,10,0.644,0.17557524502807,NA,33.4,NA,6.44
11319,20140814,10,0.825,0.280168600032988,NA,39.9,NA,8.25
11320,20140820,9,0.578181818181818,0.221396394813384,53.5454545454545,22.4545454545455,31.0909090909091,6.36
11321,20140820,5,0.322,0.0895384993013779,NA,17.4666666666667,NA,4.83
11322,20140827,11,0.601111111111111,0.167812726308558,NA,27.6666666666667,NA,5.41
11323,20140828,5,0.329333333333333,0.136928900563482,NA,18.0666666666667,NA,4.94
11324,20140905,4,0.350625,0.0905883546599672,32.6875,10.6875,22,5.61
11325,20140909,10,0.508,0.280784614963142,NA,25.2,NA,5.08
11326,20140910,7,0.406923076923077,0.146650640150019,41.6153846153846,17.2307692307692,24.3846153846154,5.29
11328,20140912,9,0.678181818181818,0.275601820814674,NA,28.7272727272727,NA,7.46
11329,20140922,6,0.328571428571429,0.0203269971512472,NA,18,NA,4.6
11331,20141007,8,0.37,0.132870408498452,NA,22.3333333333333,NA,4.44
11332,20141013,10,0.609,0.193186726022031,NA,25.3,NA,6.09
11333,20141015,10,0.638,0.186237602122784,46.5,12.9,33.6,6.38
11335,20141020,10,0.825,0.382542662834995,NA,38.4,NA,8.25
11336,20141020,13,0.997142857142857,0.404710360863762,69,24.1428571428571,44.8571428571429,6.98
11337,20141020,9,0.622727272727273,0.232210719351666,NA,30.9090909090909,NA,6.85
11338,20141021,8,0.520833333333333,0.30675599818788,NA,19.75,NA,6.25
